	logFC	logCPM	F	PValue	FDR
ATAD1	13.5655725744264	6.62660360007319	5473.33884321623	5.4555419312886e-26	6.71140068148155e-22
PIK3R4	14.2308922999648	5.53160739523531	4958.5490598831	1.47506045610415e-25	6.71140068148155e-22
FAM160B1	13.9598459218682	5.60260242338924	4679.63815796503	2.63323401448386e-25	6.71140068148155e-22
DCUN1D1	13.8631114228803	6.14754158185539	4433.18686761588	4.51429476309107e-25	6.71140068148155e-22
AQR	12.5788209960174	7.19169381903061	4424.60461306037	4.59414480760785e-25	6.71140068148155e-22
HMG20A	14.1860972148398	5.68214017365838	4402.63269416274	4.84961202115389e-25	6.71140068148155e-22
GATC	13.9678528087399	5.8934685048035	4317.95856706099	5.88245481457661e-25	6.71140068148155e-22
YME1L1	12.3665958657589	7.78021437091396	4235.45757935287	7.11405750645191e-25	6.71140068148155e-22
GPR107	13.2253267879537	6.93625605013141	4153.95261172662	8.64862724982278e-25	6.71140068148155e-22
WAPAL	12.2068385573574	7.8403598598766	4140.11600922487	8.93475826707477e-25	6.71140068148155e-22
PHAX	14.0109210344252	6.01586011044739	4136.30394244262	9.04451075952882e-25	6.71140068148155e-22
TTC1	13.912542235766	6.13344322160266	4113.97556405974	9.54159366475367e-25	6.71140068148155e-22
GTF2H1	13.4210972110932	6.2184670471142	4096.58845341948	9.95139277424638e-25	6.71140068148155e-22
FAM175B	14.6180391849856	5.45027903936526	4051.68167381756	1.11632061166127e-24	6.71140068148155e-22
TRAF7	14.1855425119575	5.59009182083379	4044.41613914785	1.13497968415696e-24	6.71140068148155e-22
SEC23IP	12.903884501901	6.83428975878186	4033.48513615876	1.16140711815482e-24	6.71140068148155e-22
WTAP	13.2603491708258	6.82739558510392	4018.27772069432	1.20605120318343e-24	6.71140068148155e-22
GLE1	13.9737873396069	6.08004740898982	3994.58863052976	1.28195809767702e-24	6.71140068148155e-22
ZDHHC5	13.3200568380885	6.85729294193378	3990.84866207339	1.29165380321104e-24	6.71140068148155e-22
FAM104A	14.7970798001467	5.21174072329868	3968.3537383454	1.37821024084866e-24	6.71140068148155e-22
DYNC1I2	12.5253190279064	7.36275103696693	3959.47718472306	1.39701889540679e-24	6.71140068148155e-22
CWC15	14.3151895111217	5.88769071033471	3958.45244428086	1.40511738181191e-24	6.71140068148155e-22
CACUL1	13.2754340552384	6.77655820383439	3950.97336243149	1.42829775170374e-24	6.71140068148155e-22
DPP8	13.7509733456474	6.52361957771152	3946.86213485347	1.44415775350021e-24	6.71140068148155e-22
SEC24C	13.142382319567	6.92161429084358	3942.32547293192	1.45991103712708e-24	6.71140068148155e-22
ZCCHC8	14.3836483213428	5.48212277791767	3938.84424804379	1.48078890819506e-24	6.71140068148155e-22
TNKS2	12.9195030358347	6.78556957541542	3932.30113421388	1.49781955317606e-24	6.71140068148155e-22
YY1	13.4997447962977	6.57287242879597	3929.08387760932	1.51047001160748e-24	6.71140068148155e-22
MBD4	14.2473768837377	5.74054528244355	3923.86359968578	1.53501070995704e-24	6.71140068148155e-22
ZNF148	12.7558525086731	7.22777833508147	3911.84498042364	1.57701136889412e-24	6.71140068148155e-22
EXOC5	13.0140836533185	7.07399871753131	3886.16545703964	1.68496469878899e-24	6.71140068148155e-22
FAM204A	13.8122046115218	6.20621573870748	3847.90690530208	1.86266463372183e-24	6.71140068148155e-22
RNF34	14.2869351081585	5.60827582879521	3823.16003861563	1.99334026301932e-24	6.71140068148155e-22
CREB1	13.201417646505	6.61280019127822	3795.15062018325	2.1373697877569e-24	6.71140068148155e-22
BRE	14.9571059562086	4.87831319707428	3788.34620425989	2.207217198844e-24	6.71140068148155e-22
LEPROTL1	14.4251268927482	5.74498479593013	3776.82093477155	2.2504274763714e-24	6.71140068148155e-22
BTRC	14.2574093634978	5.28669341294682	3778.14225879218	2.25146312070962e-24	6.71140068148155e-22
ZNF143	14.7241605856027	5.22410358209486	3777.76505453786	2.25509217255161e-24	6.71140068148155e-22
ARMC8	14.3165135117162	5.88634950027644	3774.32082945535	2.26352381732825e-24	6.71140068148155e-22
