	logFC	logCPM	F	PValue	FDR
ATAD1	13.5655064167447	6.62660360007319	5472.50386482949	5.47030416009493e-26	6.73605024683399e-22
PIK3R4	14.230933217362	5.53160739523531	4953.77411094463	1.49095423749565e-25	6.73605024683399e-22
FAM160B1	13.9597705517545	5.60260242338924	4676.32046748088	2.65449292165394e-25	6.73605024683399e-22
DCUN1D1	13.8632949483538	6.14754158185539	4431.53423754178	4.53499838350257e-25	6.73605024683399e-22
AQR	12.5788926545302	7.19169381903061	4424.84729021394	4.59625849721038e-25	6.73605024683399e-22
HMG20A	14.1862005166568	5.68214017365838	4399.81983258584	4.88451527687314e-25	6.73605024683399e-22
GATC	13.9676185116461	5.8934685048035	4313.7875819256	5.94607373786769e-25	6.73605024683399e-22
YME1L1	12.3665809830256	7.78021437091396	4236.28544307144	7.10806088342088e-25	6.73605024683399e-22
GPR107	13.2253850244907	6.93625605013141	4153.98403256145	8.65754848980672e-25	6.73605024683399e-22
WAPAL	12.2068370310916	7.8403598598766	4141.33561051064	8.91832096271082e-25	6.73605024683399e-22
PHAX	14.0108780149847	6.01586011044739	4134.03310410718	9.10310078529541e-25	6.73605024683399e-22
TTC1	13.9125015034591	6.13344322160266	4112.56465556481	9.58497156406259e-25	6.73605024683399e-22
GTF2H1	13.4209626864955	6.2184670471142	4095.10010504474	9.99748756684096e-25	6.73605024683399e-22
FAM175B	14.6182716582202	5.45027903936526	4047.87290718712	1.12799323788491e-24	6.73605024683399e-22
TRAF7	14.1857908670669	5.59009182083379	4040.7289294631	1.14655959455602e-24	6.73605024683399e-22
SEC23IP	12.9039159629529	6.83428975878186	4032.88178530375	1.16442691516012e-24	6.73605024683399e-22
WTAP	13.2604106122827	6.82739558510392	4017.05849779062	1.21104914163928e-24	6.73605024683399e-22
GLE1	13.9736884355522	6.08004740898982	3992.05396233829	1.29118062831049e-24	6.73605024683399e-22
ZDHHC5	13.3200913135403	6.85729294193378	3989.95587612312	1.2959695386487e-24	6.73605024683399e-22
DYNC1I2	12.5252788157994	7.36275103696693	3959.92463734364	1.39696911328606e-24	6.73605024683399e-22
FAM104A	14.7970724699027	5.21174072329868	3962.56175529549	1.39980098820387e-24	6.73605024683399e-22
CWC15	14.3154075084811	5.88769071033471	3955.73640672928	1.41629966984868e-24	6.73605024683399e-22
CACUL1	13.2754420110697	6.77655820383439	3950.68622972124	1.43089942424833e-24	6.73605024683399e-22
DPP8	13.7510571990559	6.52361957771152	3946.36022100561	1.44758054724405e-24	6.73605024683399e-22
SEC24C	13.1423350143124	6.92161429084358	3941.55280645751	1.46437923988236e-24	6.73605024683399e-22
ZCCHC8	14.3838508522348	5.48212277791767	3935.16465216629	1.4958083776968e-24	6.73605024683399e-22
TNKS2	12.9194453866846	6.78556957541542	3931.85105584168	1.50117515759508e-24	6.73605024683399e-22
YY1	13.4997279346168	6.57287242879597	3928.49161940543	1.51440006264677e-24	6.73605024683399e-22
MBD4	14.2476423328762	5.74054528244355	3921.17269213001	1.54682630538076e-24	6.73605024683399e-22
ZNF148	12.755892172645	7.22777833508147	3911.99226627245	1.57813897804906e-24	6.73605024683399e-22
EXOC5	13.0141555468504	7.07399871753131	3885.94651763397	1.68754177480437e-24	6.73605024683399e-22
FAM204A	13.8122367285869	6.20621573870748	3845.46155338391	1.87658343642733e-24	6.73605024683399e-22
RNF34	14.2868671514976	5.60827582879521	3819.72756373344	2.01336619117616e-24	6.73605024683399e-22
CREB1	13.2014015520129	6.61280019127822	3794.58729107623	2.14286482682894e-24	6.73605024683399e-22
BRE	14.9575531964386	4.87831319707428	3781.90791985801	2.24591346429771e-24	6.73605024683399e-22
LEPROTL1	14.4253803478949	5.74498479593013	3772.69260000846	2.27721991563665e-24	6.73605024683399e-22
TNPO3	12.5325568633665	7.00947350411466	3771.20430923544	2.27825375229192e-24	6.73605024683399e-22
ARMC8	14.3165856391716	5.88634950027644	3772.13181595295	2.27908261243048e-24	6.73605024683399e-22
BTRC	14.2572862376368	5.28669341294682	3773.55095985297	2.28059008092415e-24	6.73605024683399e-22
ZNF143	14.7243480092921	5.22410358209486	3773.10524360585	2.28521785083317e-24	6.73605024683399e-22
PAPD4	13.3406076326062	6.35013134145595	3768.6568633302	2.29627045969206e-24	6.73605024683399e-22
MTRF1L	14.9978268675491	5.63216707974699	3748.44333491485	2.43268289603376e-24	6.73605024683399e-22
MAN1A2	12.4715494188509	7.48321222546354	3731.99559232879	2.52842478322164e-24	6.73605024683399e-22
MAPKAP1	13.4535809758432	6.72024234121448	3730.69884528249	2.53946732075061e-24	6.73605024683399e-22
SACM1L	14.1499476893026	6.20443474884316	3715.47660153928	2.64832755066094e-24	6.73605024683399e-22
AAGAB	13.4122690404512	6.93589765429285	3708.96774347858	2.69157793498878e-24	6.73605024683399e-22
RNF10	13.7631174178732	6.6692262200445	3699.20156995285	2.76445299945535e-24	6.73605024683399e-22
KIAA0196	13.7349354232802	6.2274640265308	3699.13451797332	2.76688448233487e-24	6.73605024683399e-22
RTF1	13.2905400556617	6.47504151067204	3698.71792067106	2.76853219159236e-24	6.73605024683399e-22
EIF4E2	13.9003125669969	6.53276038451272	3690.52589378935	2.83111407358086e-24	6.73605024683399e-22
DR1	13.6840467768595	6.3929957058222	3688.80750965178	2.84479133355535e-24	6.73605024683399e-22
IK	12.6562565362504	7.42971450959844	3684.07584689873	2.87756826495642e-24	6.73605024683399e-22
ISY1	15.0220553492544	5.09453804364714	3680.41245148784	2.9371095691963e-24	6.73605024683399e-22
SLC35E1	13.7446294000583	6.17421998198147	3672.95159100775	2.97084241350643e-24	6.73605024683399e-22
PDCL	14.3693498211828	5.56834727800053	3668.46158556068	3.01746155332757e-24	6.73605024683399e-22
WAC	11.9895820617409	8.2088025249383	3666.03139636523	3.02158944333775e-24	6.73605024683399e-22
EIF2AK4	13.3968407393218	6.59182979183526	3666.32337653553	3.02317077921591e-24	6.73605024683399e-22
FBXO38	13.1954275560565	6.46884282780844	3662.24850363906	3.05750396428403e-24	6.73605024683399e-22
FAM32A	14.2660580186746	6.55003562631873	3661.72902138875	3.06207692860163e-24	6.73605024683399e-22
ARIH1	12.5224025133243	7.13246775365531	3644.91964120954	3.20317591023593e-24	6.92900335649202e-22
ANAPC5	13.2063363739324	6.44579813628168	3630.71070879695	3.3339605854488e-24	7.09368433418689e-22
ZBED5	13.4330877425043	6.2740988047337	3612.63893637839	3.50593931628069e-24	7.12826478463664e-22
CTR9	13.6085290487679	6.50918291769253	3611.79428772977	3.51240475673815e-24	7.12826478463664e-22
TRAPPC11	13.1151708929297	6.75538772295658	3606.75141488155	3.56104016398337e-24	7.12826478463664e-22
C5orf44	14.3028251496785	5.27508108416149	3604.77030675722	3.60529292527858e-24	7.12826478463664e-22
ZNF791	14.7061401818852	5.34244706613819	3602.57615879404	3.62482067791061e-24	7.12826478463664e-22
