	SYMBOL	ENTREZID
1	ATAD1	84896
2	PIK3R4	30849
3	DCUN1D1	54165
4	AQR	9716
5	HMG20A	10363
6	GATC	283459
7	YME1L1	10730
8	GPR107	57720
9	PHAX	51808
10	TTC1	7265
11	GTF2H1	2965
12	TRAF7	84231
13	SEC23IP	11196
14	WTAP	9589
15	GLE1	2733
16	ZDHHC5	25921
17	DYNC1I2	1781
18	CWC15	51503
19	CACUL1	143384
20	DPP8	54878
21	SEC24C	9632
22	ZCCHC8	55596
23	TNKS2	80351
24	YY1	7528
25	MBD4	8930
26	ZNF148	7707
27	EXOC5	10640
28	FAM204A	63877
29	RNF34	80196
30	CREB1	1385
31	LEPROTL1	23484
32	TNPO3	23534
33	ARMC8	25852
34	BTRC	8945
35	ZNF143	7702
36	MTRF1L	54516
37	MAN1A2	10905
38	MAPKAP1	79109
39	SACM1L	22908
40	AAGAB	79719
41	RNF10	9921
42	RTF1	23168
43	EIF4E2	9470
44	DR1	1810
45	IK	3550
46	ISY1	57461
47	SLC35E1	79939
48	PDCL	5082
49	WAC	51322
50	EIF2AK4	440275
51	FBXO38	81545
52	FAM32A	26017
53	ARIH1	25820
54	ANAPC5	51433
55	ZBED5	58486
56	CTR9	9646
57	TRAPPC11	60684
58	ZNF791	163049
59	ATP2C1	27032
60	DDX19B	11269
61	KCTD20	222658
62	MRRF	92399
63	KPNA4	3840
64	UBA5	79876
65	SNX1	6642
66	RTCA	8634
67	PPP2R2D	55844
68	DUSP11	8446
69	PGGT1B	5229
70	CNOT2	4848
71	COPS5	10987
72	STXBP2	6813
73	INTS2	57508
74	CUL2	8453
75	RBM22	55696
76	DGUOK	1716
77	MYNN	55892
78	AP3M1	26985
79	FCF1	51077
80	USP15	9958
81	OPA1	4976
82	GTF3C2	2976
83	MTDH	92140
84	PPP3CB	5532
85	IVD	3712
86	UROD	7389
87	SPOP	8405
88	CUL5	8065
89	COG7	91949
90	DNTTIP2	30836
91	QRICH1	54870
92	FBXW2	26190
93	SENP5	205564
94	SENP2	59343
95	TAOK2	9344
96	EAF1	85403
97	ANKRD40	91369
98	MAP2K7	5609
99	CTDSP2	10106
100	PPHLN1	51535
101	EXOC1	55763
102	SDF4	51150
103	UBE2V2	7336
104	TRIM32	22954
105	POLR2B	5431
106	DCAF12	25853
107	PTPN9	5780
108	SRPK2	6733
109	NSFL1C	55968
110	VPS4A	27183
111	TBC1D22B	55633
112	MRPL46	26589
113	ALDH18A1	5832
114	MTO1	25821
115	SP3	6670
116	HAUS2	55142
117	WDR55	54853
118	SPTY2D1	144108
119	SDAD1	55153
120	ABI1	10006
121	AZI2	64343
122	SRP54	6729
123	GTF2E2	2961
124	OTOP2	92736
125	RAB18	22931
126	SMARCD1	6602
127	STXBP3	6814
128	TBC1D15	64786
129	SIKE1	80143
130	TRIM27	5987
131	RAB14	51552
132	TOPORS	10210
133	ATF2	1386
134	MBD1	4152
135	DHX29	54505
136	ZDHHC7	55625
137	PIAS1	8554
138	GAPVD1	26130
139	TFIP11	24144
140	DCP1A	55802
141	PIK3CA	5290
142	DNAJC14	85406
143	TADA2B	93624
144	MRPS34	65993
145	HARS2	23438
146	PUF60	22827
147	USP3	9960
148	MTFMT	123263
149	CDK17	5128
150	ABCF3	55324
151	VAC14	55697
152	DLG3	1741
153	WDR11	55717
154	SLU7	10569
155	HERC4	26091
156	PURA	5813
157	ARMC1	55156
158	AP3B1	8546
159	HPS3	84343
160	SLC4A1AP	22950
161	POLK	51426
162	SLC37A3	84255
163	KXD1	79036
164	CRKL	1399
165	TMEM39A	55254
166	SEC13	6396
167	DDX20	11218
168	FBXO30	84085
169	PAFAH1B2	5049
170	USP10	9100
171	EMC2	9694
172	RRN3	54700
173	NHLRC2	374354
174	INPP5F	22876
175	DGCR2	9993
176	CTCF	10664
177	MCMBP	79892
178	PALB2	79728
179	ZNF410	57862
180	STK10	6793
181	CASP6	839
182	DNAJC24	120526
183	RNF168	165918
184	LRRC40	55631
185	NFKB1	4790
186	NIF3L1	60491
187	MDM1	56890
188	RNF41	10193
189	GABPB1	2553
190	PLEKHM2	23207
191	RIC8A	60626
192	MAPK14	1432
193	MSL1	339287
194	PCYT1A	5130
195	DNAJB12	54788
196	WDR82	80335
197	EIF1B	10289
198	AAMP	14
199	MAPKAPK5	8550
200	CAMKK2	10645
201	ZBTB43	23099
202	RNF139	11236
203	FGFR1OP2	26127
204	SUN2	25777
205	SNX3	8724
206	PAK2	5062
207	OSBP	5007
208	UBE3A	7337
209	TFCP2	7024
210	BRAP	8315
211	VPS11	55823
212	MUL1	79594
213	METAP1	23173
214	RUFY1	80230
215	CCNH	902
216	SARNP	84324
217	ATF7	11016
218	PTPMT1	114971
219	MTMR1	8776
220	PRPF38A	84950
221	VCPIP1	80124
222	TMEM41B	440026
223	AHSA1	10598
224	FBXO33	254170
225	SSBP3	23648
226	ASNSD1	54529
227	FNIP1	96459
228	CS	1431
229	RSAD1	55316
230	PTDSS1	9791
231	RNF38	152006
232	ATP6V1C1	528
233	PPM1F	9647
234	MICU1	10367
235	SRP19	6728
236	FOXN3	1112
237	FRS2	10818
238	JRKL	8690
239	GPN1	11321
240	FAM76A	199870
241	RYBP	23429
242	TRIM38	10475
243	PCNP	57092
244	ARFGAP2	84364
245	CTDSPL2	51496
246	PDHX	8050
247	DTWD1	56986
248	SNF8	11267
249	GTF2A1	2957
250	NOL10	79954
251	SRSF8	10929
252	ENTPD4	9583
253	GCA	25801
254	TBK1	29110
255	SRFBP1	153443
256	SPOPL	339745
257	SUMO1	7341
258	RPS6KB2	6199
259	STAM	8027
260	PEX13	5194
261	PANK3	79646
262	STRN	6801
263	MRPL44	65080
264	RBM27	54439
265	OPA3	80207
266	NUP98	4928
267	TMOD3	29766
268	AGGF1	55109
269	HIF1AN	55662
270	PPP6R3	55291
271	USP8	9101
272	MFF	56947
273	TDRD7	23424
274	JMJD8	339123
275	ZNF398	57541
276	FAM91A1	157769
277	DNAJC21	134218
278	TUBGCP2	10844
279	TAOK3	51347
280	MTCH1	23787
281	LLPH	84298
282	SPCS2	9789
283	FBXW11	23291
284	PTGFRN	5738
285	PKNOX1	5316
286	SBF2	81846
287	ELF2	1998
288	DUSP3	1845
289	GFOD2	81577
290	UBTF	7343
291	EIF1AD	84285
292	EPS15	2060
293	GSTCD	79807
294	METTL14	57721
295	MSL2	55167
296	ATG13	9776
297	SETD7	80854
298	RNF146	81847
299	MFN1	55669
300	CPSF2	53981
301	RPS19BP1	91582
302	PLEKHA3	65977
303	CNOT10	25904
304	ZBTB6	10773
305	AKT1	207
306	ACTR6	64431
307	CUL3	8452
308	SGTA	6449
309	BCAS2	10286
310	AGK	55750
311	SSNA1	8636
312	FLII	2314
313	GPR75-ASB3	100302652
314	FRG1	2483
315	MTA2	9219
316	UBR7	55148
317	CLCC1	23155
318	PLRG1	5356
319	COQ7	10229
320	FOXN2	3344
321	DIABLO	56616
322	ARHGAP1	392
323	AGTPBP1	23287
324	TALDO1	6888
325	DDX50	79009
326	ZKSCAN5	23660
327	ITGB1BP1	9270
328	GMCL1	64395
329	CCDC125	202243
330	STRBP	55342
331	KHNYN	23351
332	ISY1-RAB43	100534599
333	DHX57	90957
334	RPAP3	79657
335	SPIN1	10927
336	CSNK1G1	53944
337	PARN	5073
338	LONP2	83752
339	FKBP15	23307
340	DDX24	57062
341	CEPT1	10390
342	SLC25A32	81034
343	ANKRD13C	81573
344	DIP2B	57609
345	POLR2E	5434
346	CHTF8	54921
347	PSMD7	5713
348	SUDS3	64426
349	SMU1	55234
350	RBM23	55147
351	PSMC6	5706
352	GSK3B	2932
353	WDR20	91833
354	DLG1	1739
355	GLRX3	10539
356	DDX41	51428
357	ENY2	56943
358	TMEM87A	25963
359	BACH1	571
360	DYNC1LI1	51143
361	THOC7	80145
362	SLC39A9	55334
363	GCC1	79571
364	STK25	10494
365	PHTF1	10745
366	WDR75	84128
367	YTHDF3	253943
368	CYFIP1	23191
369	ADPGK	83440
370	RPP14	11102
371	MAPK9	5601
372	CCDC47	57003
373	TRIM26	7726
374	ZFAND2B	130617
375	UBE2Z	65264
376	GORASP1	64689
377	RARS2	57038
378	SNW1	22938
379	CHCHD7	79145
380	EDC4	23644
381	NSMAF	8439
382	TTC4	7268
383	RABGEF1	27342
384	STAT6	6778
385	DNM1L	10059
386	RYK	6259
387	NSMCE4A	54780
388	TSR3	115939
389	INPP5A	3632
390	ZDHHC6	64429
391	CHIC2	26511
392	SHOC2	8036
393	CNOT8	9337
394	ASH2L	9070
395	ZCCHC9	84240
396	CRY1	1407
397	NFYB	4801
398	ZSWIM6	57688
399	SUOX	6821
400	AASDHPPT	60496
401	WDFY1	57590
